timestampms,seq,best_bid,best_ask,mid,inventory,cash,avg_cost,realized_pnl,equity_mtm,equity_liquidation,trade_count,bid_quote_price,ask_quote_price,bid_quote_size,ask_quote_size
1773069482574,235676,69178.4,69184.56,69181.48,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.172110224376,20002.014841314376,2,,,,
1773069483595,235914,69178.01,69182.71,69180.36,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.167434224375,20002.0132138785,2,,,,
1773069484599,236083,69182.7,69189.63,69186.16500000001,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.191670099375,20002.032784838124,2,,,,
1773069485616,236279,69180.24,69190.96,69185.6,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.189311224378,20002.022519473376,2,,,,
1773069486623,236416,69180.01,69180.02,69180.015,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.165993849376,20002.021559703502,2,,,,
1773069487623,237095,69149.1,69149.11,69149.10500000001,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.036944599375,20001.892574978127,2,,,,
1773069488658,237290,69149.0,69149.01,69149.005,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.036527099375,20001.892157686878,2,,,,
1773069489661,237565,69142.01,69142.02,69142.015,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.00734384938,20001.8629890285,2,,,,
1773069490671,237994,69138.37,69140.01,69139.19,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20001.995549474377,20001.847799627,2,,,,
1773069491675,238419,69138.37,69139.82,69139.095,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20001.995152849377,20001.847799627,2,,,,
1773069492701,238625,69138.33,69138.34,69138.33499999999,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20001.991979849376,20001.8476327105,2,,,,
1773069493702,238907,69131.29,69131.82,69131.555,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20001.963673349375,20001.818255406502,2,,,,
1773069494730,239163,69123.8,69123.81,69123.805,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20001.931317099377,20001.787000291875,2,,,,
1773069495731,239281,69123.8,69123.81,69123.805,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20001.931317099377,20001.787000291875,2,,,,
