timestampms,seq,event,side,price,size,queue_ahead,inventory,fair_price,reservation_price
1773069757416,302197,new,ASK,69078.36,0.013781812500000002,0.18999514,0.004175000000000002,69027.58824879714,69027.58602213048
1773069758499,302419,cancel,ASK,69078.36,0.013781812500000002,0.0,0.004175000000000002,69032.31915540963,69032.31692874296
1773069759571,302639,new,ASK,69054.46,0.013781812500000002,0.19011896,0.004175000000000002,69008.66045954038,69008.65823287371
1773069760079,302783,cancel,ASK,69054.46,0.013781812500000002,0.0,0.004175000000000002,69072.58999245054,69072.58776578387
1773069784899,308423,new,ASK,69076.99,0.013781812500000002,0.19003389,0.004175000000000002,69036.4411191077,69036.43889244103
1773069785408,308489,cancel,ASK,69076.99,0.013781812500000002,0.03800678000000002,0.004175000000000002,69066.47819157748,69066.47596491082
1773069802324,313337,new,ASK,69115.63,0.013781812500000002,0.18996936,0.004175000000000002,69077.12521864733,69077.12299198066
1773069802861,313566,cancel,ASK,69115.63,0.013781812500000002,1.3877787807814457e-17,0.004175000000000002,69107.2795606486,69107.27733398194
1773069810575,315299,new,ASK,69105.76,0.013781812500000002,0.21315431,0.004175000000000002,69061.41857468027,69061.4163480136
1773069811090,315349,cancel,ASK,69105.76,0.013781812500000002,0.02360000000000001,0.004175000000000002,69086.31959900669,69086.31737234003
1773069813221,315730,new,ASK,69090.27,0.013781812500000002,0.2135997,0.004175000000000002,69050.30915990223,69050.30693323557
1773069813732,315879,cancel,ASK,69090.27,0.013781812500000002,0.0,0.004175000000000002,69081.13268733693,69081.13046067026
1773069823696,318258,new,ASK,69137.45,0.013781812500000002,0.18993244,0.004175000000000002,69089.71004252537,69089.70781585871
1773069824196,318535,cancel,ASK,69137.45,0.013781812500000002,1.3877787807814457e-17,0.004175000000000002,69112.20534811054,69112.20312144388
1773069827260,319161,new,ASK,69129.8,0.013781812500000002,0.18988443,0.004175000000000002,69090.0017740668,69089.99954740013
1773069827854,319442,cancel,ASK,69129.8,0.013781812500000002,0.0,0.004175000000000002,69115.29388814054,69115.29166147388
1773069835054,320720,new,ASK,69141.43999999999,0.013781812500000002,0.0,0.004175000000000002,69100.0345735562,69100.03234688954
1773069836075,321004,cancel,ASK,69141.43999999999,0.013781812500000002,0.0,0.004175000000000002,69143.41434278636,69143.4121161197
1773069841764,322337,new,ASK,69140.08,0.013781812500000002,0.18990653,0.004175000000000002,69093.93111504175,69093.92888837509
1773069842268,322404,cancel,ASK,69140.08,0.013781812500000002,0.0,0.004175000000000002,69111.8710496179,69111.86882295123
1773069896802,332152,new,ASK,69111.09,0.013781812500000002,0.15196704,0.004175000000000002,69068.94356141114,69068.94133474448
1773069897307,332219,cancel,ASK,69111.09,0.013781812500000002,0.0,0.004175000000000002,69087.9634712014,69087.96124453473
1773069899856,332717,new,ASK,69106.61,0.013781812500000002,0.18996279,0.004175000000000002,69062.49965271605,69062.49742604939
1773069900394,332822,cancel,ASK,69106.61,0.013781812500000002,0.0,0.004175000000000002,69122.47222100028,69122.46999433362
1773069905257,334019,new,ASK,69112.44,0.013781812500000002,0.15196569,0.004175000000000002,69068.89846752612,69068.89624085945
1773069905772,334130,cancel,ASK,69112.44,0.013781812500000002,0.0,0.004175000000000002,69091.2811880701,69091.27896140344
1773069974610,347547,new,ASK,69144.17,0.013781812500000002,0.15189774,0.004175000000000002,69095.74450568733,69095.74227902066
1773069975113,347609,replace,ASK,69149.23,0.013781812500000002,0.18987218,0.004175000000000002,69103.07648473623,69103.07425806957
1773069975722,347857,cancel,ASK,69149.23,0.013781812500000002,0.0,0.004175000000000002,69152.36465732659,69152.36243065992
1773069992275,351352,new,ASK,69136.97,0.013781812500000002,0.1899033,0.004175000000000002,69090.82332927223,69090.82110260557
1773069992794,351454,cancel,ASK,69136.97,0.013781812500000002,0.15192264,0.004175000000000002,69169.76394702493,69169.76172035826
1773070031529,357909,new,ASK,69115.27,0.013781812500000002,0.18991932,0.004175000000000002,69069.1412037007,69069.13897703403
1773070032029,357961,cancel,ASK,69115.27,0.013781812500000002,0.03798386000000001,0.004175000000000002,69110.48082688954,69110.47860022288
